"sep=,"
define,SD
JEMALLOC_CACHE_OBLIVIOUS,2
DBL_MANT_DIG,1
JEMALLOC_PROC_SYS_VM_OVERCOMMIT_MEMORY,15
JEMALLOC_OVERRIDE___POSIX_MEMALIGN,1
DISABLE_INVALID_NUMBERS,3
CHECK_INPUT,2
__MACH__,13
__apple_build_version__,3
__arm64__,6
O_CLOEXEC,8
SYNC_FILE_RANGE_WAIT_BEFORE,3
JEMALLOC_PROF_GCC,2
__i386,11
__GNUC__,37
__tile__,1
SIPHASH_TEST,1
LIBRESSL_VERSION_NUMBER,1
loslib_c,3
JEMALLOC_RETAIN,2
LUA_USE_LINUX,1
REDIS_STATIC,1
apollo,1
LG_SIZEOF_LONG_LONG,4
JEMALLOC_HAVE_ISSETUGID,1
USE_MALLOC_USABLE_SIZE,3
JEMALLOC_MUTEX_INIT_CB,11
__i386__,64
SC_NTINY,2
INIT_SETPROCTITLE_REPLACEMENT,1
MAC_OS_X_VERSION_10_6,56
MAC_OS_X_VERSION_10_7,2
SHA1HANDSOFF,2
__mips__,1
WCHAR_MAX,1
__powerpc__,5
LUA_NUMBER_DOUBLE,12
JEMALLOC_HAVE_MACH_ABSOLUTE_TIME,3
BYTE_ORDER,24
JEMALLOC_HAS_RESTRICT,2
__alpha,1
INCLUDE_UNRELEASED_KEYSPEC_API,2
__SSE2__,4
__unix__,10
HAVE_SSE2,5
__arm,1
__cplusplus,19
_W64,3
_M_ARM64,3
__GNUG__,2
isinf,1
__sun,10
__GNUC_MINOR__,8
HAVE_SETPROCTITLE,12
__arch64__,4
LLONG_MAX,5
JEMALLOC_PROF,2
is68k,1
offsetof,1
VM_OVERCOMMIT,2
