"sep=,"
((!(!defined(__ATOMIC_VAR_FORCE_SYNC_MACROS) && defined(__STDC_VERSION__) && (__STDC_VERSION__ >= 201112L) && !defined(__STDC_NO_ATOMICS__))) && (!(!defined(__ATOMIC_VAR_FORCE_SYNC_MACROS) && (!defined(__clang__) || !defined(__APPLE__) || __apple_build_version__ > 4210057) && defined(__ATOMIC_RELAXED) && defined(__ATOMIC_SEQ_CST)))) && (defined(HAVE_ATOMIC)),9
((defined(JEMALLOC_IS_MALLOC) && defined(JEMALLOC_GLIBC_MALLOC_HOOK)) && (defined(CPU_COUNT))) && (defined(JEMALLOC_OVERRIDE___LIBC_VALLOC)),4
!STRICT_ALIGN,1
defined(RAX_DEBUG_MSG),1
defined(__arm) && !defined(__arm__),2
(!((defined(__i386__) || defined(__amd64__) || defined(__x86_64__)))) && ((defined(_MSC_VER))),4
defined(LUA_COMPAT_GFIND),1
!(defined(JEMALLOC_CACHE_OBLIVIOUS)),1
!defined(JEMALLOC_ATOMIC_U64),1
((((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (!(defined(__FreeBSD__)))) && (!(defined(__OpenBSD__)))) && (!(defined(__NetBSD__)))) && (!(defined(__DragonFly__))),8
__GNUC__ >= 4,1
!defined(INIT_HTAB),1
defined(CKH_VERBOSE),1
(((!defined(BYTE_ORDER)) && (defined(__BYTE_ORDER))) && (defined(__LITTLE_ENDIAN) && defined(__BIG_ENDIAN))) && (!defined(BIG_ENDIAN)),5
defined(PAGES_CAN_PURGE_LAZY),1
(defined(__linux__)) && (defined(__arm64__)),2
!(defined(PAGES_CAN_PURGE_FORCED)),1
(!defined(STRICT_ALIGN)) && (!(!(defined(__i386) || defined (__amd64)))),3
(!defined(_MSC_STDINT_H_)) && (!((_MSC_VER < 1300))),2
((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && !defined(MAC_OS_X_VERSION_10_6)))) && (defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6))) && (!(defined(_STRUCT_X86_THREAD_STATE64) && !defined(__i386__)))) && (defined(__i386__)),5
!HAVE_SETPROCTITLE,1
defined(REDIS_TEST_MAIN),1
((!HAVE_SETPROCTITLE) && ((defined __linux || defined __APPLE__))) && (defined(HAVE_CLEARENV)),4
((((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (!(defined(__FreeBSD__)))) && (!(defined(__OpenBSD__)))) && (defined(__NetBSD__))) && (defined(__x86_64__)),8
((!(defined(HAVE_PROC_STAT))) && (!(defined(HAVE_TASKINFO)))) && (defined(__FreeBSD__) || defined(__DragonFly__)),4
defined(JEMALLOC_INTERNAL_POPCOUNTL),1
defined(__ATOMIC_VAR_FORCE_SYNC_MACROS),1
defined(_WIN32) || defined(JEMALLOC_PURGE_MADVISE_FREE),2
((((defined(__unix__) || defined(__unix) || defined(unix) || (defined(__APPLE__) && defined(__MACH__))) && (!(defined(CTL_HW) && (defined(HW_MEMSIZE) || defined(HW_PHYSMEM64))))) && (!(defined(_SC_PHYS_PAGES) && defined(_SC_PAGESIZE)))) && (defined(CTL_HW) && (defined(HW_PHYSMEM) || defined(HW_REALMEM)))) && (defined(HW_REALMEM)),12
(!defined(BYTE_ORDER)) && ((BSD >= 199103)),2
((!(defined(JEMALLOC_PROF_LIBUNWIND))) && (!((defined(JEMALLOC_PROF_LIBGCC))))) && (!((defined(JEMALLOC_PROF_GCC)))),3
defined(__GNUC__) && __GNUC__ >= 5,1
(!defined(MEXP)) && (defined(__GNUC__)),2
(!defined(_MSC_STDINT_H_)) && (_MSC_VER > 1000),2
((!(defined(_WIN32))) && (!(defined(JEMALLOC_PURGE_MADVISE_FREE)))) && (defined(JEMALLOC_PURGE_MADVISE_DONTNEED) && !defined(JEMALLOC_PURGE_MADVISE_DONTNEED_ZEROS)),4
!(defined(__ATOMIC_VAR_FORCE_SYNC_MACROS)),1
!defined(ULTRA_FAST),1
((!(defined(JEMALLOC_PROF_LIBUNWIND))) && (!((defined(JEMALLOC_PROF_LIBGCC))))) && ((defined(JEMALLOC_PROF_GCC))),3
!defined(_CRT_SPINCOUNT),1
defined(JEMALLOC_INTERNAL_TSD_MALLOC_THREAD_CLEANUP_H),1
defined(JEMALLOC_PURGE_MADVISE_DONTNEED) && defined(JEMALLOC_PURGE_MADVISE_DONTNEED_ZEROS),2
(__i386 || __amd64 || __powerpc__) && __GNUC__,4
(defined(JEMALLOC_IS_MALLOC) && defined(JEMALLOC_GLIBC_MALLOC_HOOK)) && (defined(CPU_COUNT)),3
(((!defined(_MSC_STDINT_H_)) && (!defined(__cplusplus) || defined(__STDC_LIMIT_MACROS))) && (!defined(SIZE_MAX))) && (defined(_WIN64)),5
(!defined(LG_QUANTUM)) && (!defined(LG_QUANTUM)),1
LG_SIZEOF_LONG == 3,1
