"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/ar_subs.c.xml,608,1,1,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/buf_subs.c.xml,471,1,1,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/cache.c.xml,247,2,7,1.25,0.5,,,,,,,,2,0,0,0,0,0,4,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/cache.h.xml,19,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/cpio.c.xml,649,2,27,1.1111111111111112,0.3333333333333334,,,,,,,,2,0,0,0,0,0,14,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/cpio.h.xml,78,1,14,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/extern.h.xml,193,1,2,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/file_subs.c.xml,432,1,1,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/ftree.c.xml,272,2,15,1.125,0.3535533905932738,,,,,,,,2,0,0,6,0,0,6,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/ftree.h.xml,7,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/gen_subs.c.xml,216,2,60,1.2,0.44721359549995804,,,,,,,,3,0,0,0,0,0,4,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/getoldopt.c.xml,50,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/options.c.xml,1022,2,5,1.3333333333333333,0.5773502691896257,,,,,,,,2,0,0,0,0,0,2,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/options.h.xml,46,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
